Case	Topic	Notes
Roe v. Wade 410 u.s. 113 (1973)	Abortion	
Doe v. Bolton 410 u.s. 179 (1973)	Abortion	
Bigelow v. Virginia 421 u.s. 809 (1975)	Abortion	
Planned Parenthood of Central Missouri v. Danforth 428 u.s. 52 (1976)	Abortion	
Beal v. Doe 432 u.s. 438 (1977)	Abortion	
Maher v. Roe 432 u.s. 464 (1977)	Abortion	
Poelker v. Doe 432 u.s. 519 (1977)	Abortion	
Harris v. McRae 448 u.s. 297 (1980)	Abortion	
"Akron v. Akron Center for Reproductive Health, Inc. 462 u.s. 416 (1983)"	Abortion	
Thornburgh v. American College of Obstetricians & Gynecologists 476 u.s. 747 (1986)	Abortion	
Frisby v. Schultz 487 u.s. 474 (1988)	Abortion	
Webster v. Reproductive Health Services 492 u.s. 490 (1989)	Abortion	
Hodgson v. Minnesota 497 u.s. 417 (1990)	Abortion	
Rust v. Sullivan 500 u.s. 173 (1991)	Abortion	
Planned Parenthood of Southeastern Pennsylvania v. Casey 505 u.s. 833 (1992)	Abortion	
Regents of the Univ. of Cal. v. Bakke 438 u.s. 265 (1978)	Affirmative Action	
"United Steelworkers of America, AFL-CIO-CLC v. Weber 443 u.s. 193 (1979)"	Affirmative Action	
Fullilove v. Klutznick 448 u.s. 448 (1980)	Affirmative Action	
Mississippi University for Women v. Hogan 458 u.s. 718 (1982)	Affirmative Action	
Building Trades & Construction Trades Council of Camden County and Vicinity v. Mayor and Council of the City of Camden 465 u.s. 208 (1984)	Affirmative Action	
Firefighters Local Union No. 1784 v. Stotts 467 u.s. 561 (1984)	Affirmative Action	
Wygant v. Jackson Board of Education 476 u.s. 267 (1986)	Affirmative Action	
United States v. Paradise 480 u.s. 149 (1987)	Affirmative Action	
Johnson v. Transportation Agency 480 u.s. 616 (1987)	Affirmative Action	
City of Richmond v. J. A. Croson Co. 488 u.s. 469 (1989)	Affirmative Action	
"Metro Broadcasting, Inc. v. Federal Communications Commission 497 u.s. 547 (1990)"	Affirmative Action	
"Adarand Constructors, Inc. v. Pena 515 u.s. 200 (1995)"	Affirmative Action	
Truax v. Raich 239 u.s. 33 (1915)	Aliens	
United States v. Pink 315 u.s. 203 (1942)	Aliens	
Graham v. Department of Pub. Welfare 403 u.s. 365 (1971)	Aliens	
Hampton v. Mow Sun Wong 426 u.s. 88 (1976)	Aliens	
Ambach v. Norwick 441 u.s. 68 (1979)	Aliens	
Fullilove v. Klutznick 448 u.s. 448 (1980)	Aliens	
Cabell v. Chavez-Salido 454 u.s. 432 (1982)	Aliens	
Plyler v. Doe 457 u.s. 202 (1982)	Aliens	
INS v. Chadha 462 u.s. 919 (1983)	Aliens	
Welsh v. United States 398 u.s. 333 (1970)	Armed Services	
Johnson v. Robison 415 u.s. 361 (1974)	Armed Services	
Schlesinger v. Reservists Committee to Stop the War 418 u.s. 208 (1974)	Armed Services	
Schick v. Reed 419 u.s. 256 (1974)	Armed Services	
Rostker v. Goldberg 453 u.s. 57 (1981)	Armed Services	
United States v. Lovett 328 u.s. 303 (1946)	Attainder	
American Communications Assn. v. Douds 339 u.s. 382 (1950)	Attainder	
Barenblatt v. United States 360 u.s. 109 (1959)	Attainder	
Communist Party of the United States v. Subversive Activities Control Bd. No. 12 367 u.s. 1 (1961)	Attainder	
Aptheker v. Secretary of State 378 u.s. 500 (1964)	Attainder	
United States v. Brown 381 u.s. 437 (1965)	Attainder	
Nixon v. Administrator of General Services 433 u.s. 425 (1977)	Attainder	
Ex Parte Garland 71 u.s. 333 (1866)	Attorneys	
In re Primus 436 u.s. 412 (1978)	Attorneys	
Butz v. Economou 438 u.s. 478 (1978)	Attorneys	
Supreme Court of New Hampshire v. Piper 470 u.s. 274 (1985)	Attorneys	
Nix v. Whiteside 475 u.s. 157 (1986)	Attorneys	
Phillips v. Washington Legal Foundation 521 u.s. 117 (1998)	Attorneys	
Northern Pipeline Constr. Co. v. Marathon Pipe Line Co. 458 u.s. 50 (1982)	Bankruptcy	
Barron v. Mayor & City Council of Baltimore 32 u.s. 243 (1833)	Bill of Rights	
Buck v. Bell 274 u.s. 200 (1927)	Contraception	
Griswold v. Connecticut 381 u.s. 479 (1965)	Contraception	
Carey v. Population Services International 431 u.s. 678 (1977)	Contraception	
Bolger v. Youngs Drugs Prods. Corp. 463 u.s. 60 (1983)	Contraception	
Foster & Elam v. Neilson 27 u.s. 253 (1829)	Borders	
Palko v. Connecticut 302 u.s. 319 (1937)	Capital Punishment	
Louisiana ex rel. Francis v. Resweber 329 u.s. 459 (1947)	Capital Punishment	
United States v. Jackson 390 u.s. 570 (1968)	Capital Punishment	
Witherspoon v. Illinois 391 u.s. 510 (1968)	Capital Punishment	
Bumper v. North Carolina 391 u.s. 543 (1968)	Capital Punishment	
Furman v. Georgia 408 u.s. 238 (1972)	Capital Punishment	
Schick v. Reed 419 u.s. 256 (1974)	Capital Punishment	
Gregg v. Georgia 428 u.s. 153 (1976)	Capital Punishment	
Proffitt v. Florida 428 u.s. 242 (1976)	Capital Punishment	
Jurek v. Texas 428 u.s. 262 (1976)	Capital Punishment	
Woodson v. North Carolina 428 u.s. 280 (1976)	Capital Punishment	
Coker v. Georgia 433 u.s. 584 (1977)	Capital Punishment	
Lockett v. Ohio 438 u.s. 586 (1978)	Capital Punishment	
Bell v. Ohio 438 u.s. 637 (1978)	Capital Punishment	
Eddings v. Oklahoma 455 u.s. 104 (1982)	Capital Punishment	
Enmund v. Florida 458 u.s. 782 (1982)	Capital Punishment	
Pulley v. Harris 465 u.s. 37 (1984)	Capital Punishment	
Lockhart v. McCree 476 u.s. 162 (1986)	Capital Punishment	
Ford v. Wainwright 477 u.s. 399 (1986)	Capital Punishment	
McCleskey v. Kemp 481 u.s. 279 (1987)	Capital Punishment	
Booth v. Maryland 482 u.s. 496 (1987)	Capital Punishment	
Thompson v. Oklahoma 487 u.s. 815 (1988)	Capital Punishment	
South Carolina v. Gathers 490 u.s. 805 (1989)	Capital Punishment	
Penry v. Lynaugh 492 u.s. 302 (1989)	Capital Punishment	
Stanford v. Kentucky 492 u.s. 361 (1989)	Capital Punishment	
Dawson v. Delaware 503 u.s. 159 (1992)	Capital Punishment	
Gomez v. United States District Court for the Northern District of California 503 u.s. 653 (1992)	Capital Punishment	
Atkins v. Virginia 00-8452 (2002)	Capital Punishment	
Near v. Minnesota 283 u.s. 697 (1931)	Censorship	
Erznoznik v. City of Jacksonville 422 u.s. 205 (1975)	Censorship	
Ashcroft v. Free Speech Coalition 00-795 (2002)	Censorship	
Hammer v. Dagenhart 247 u.s. 251 (1918)	Children	
Bailey v. Drexel Furniture Company 259 u.s. 20 (1922)	Children	
Meyer v. State of Nebraska 262 u.s. 390 (1923)	Children	
Pierce v. Society of Sisters 268 u.s. 510 (1925)	Children	
Minersville School District v. Board of Education 310 u.s. 586 (1940)	Children	
West Virginia State Board of Education v. Barnette 319 u.s. 624 (1943)	Children	
Prince v. Massachusetts 321 u.s. 158 (1944)	Children	
Everson v. Board of Education of the Township of Ewing 330 u.s. 1 (1947)	Children	
In re Gault 387 u.s. 1 (1967)	Children	
Tinker v. Des Moines Independent Community School Dist. 393 u.s. 503 (1969)	Children	
Ingraham v. Wright 430 u.s. 651 (1977)	Children	
Santosky v. Kramer 455 u.s. 745 (1982)	Children	
Palmore v. Sidoti 466 u.s. 429 (1984)	Children	
Hazelwood School Dist. v. Kuhlmeier 484 u.s. 260 (1988)	Children	
DeShaney v. Winnebago County Department of Social Services 489 u.s. 189 (1989)	Children	
Massachusetts v. Oakes 491 u.s. 576 (1989)	Children	
Osborne v. Ohio 495 u.s. 103 (1990)	Children	
Maryland v. Craig 497 u.s. 836 (1990)	Children	
United States v. Lopez 514 u.s. 549 (1995)	Children	
Troxel v. Granville 530 u.s. 57 (2000)	Children	
Ashcroft v. Free Speech Coalition 00-795 (2002)	Children	
Nguyen v. INS 99-2071 (2001)	Children	
Swift v. Tyson 41 u.s. 1 (1842)	Choice of Law	
Erie Railroad Co. v. Tompkins 304 u.s. 64 (1938)	Choice of Law	
Ex Parte Quirin 317 u.s. 1 (1942)	Choice of Law	
Smith v. Allwright 321 u.s. 649 (1944)	Choice of Law	
Evans v. Newton 382 u.s. 296 (1966)	Choice of Law	
Arizona v. Fulminante 499 u.s. 279 (1991)	Choice of Law	
Talbot v. Janson 3 u.s. 133 (1795)	Citizenship	
Ableman v. Booth 62 u.s. 506 (1858)	Citizenship	
Minor v. Happersett 88 u.s. 162 (1875)	Citizenship	
United States v. Wong Kim Ark 169 u.s. 649 (1898)	Citizenship	
Twining v. State 211 u.s. 78 (1908)	Citizenship	
Hague v. Committee for Industrial Organization 307 u.s. 496 (1939)	Citizenship	
Perez v. Brownell 356 u.s. 44 (1958)	Citizenship	
Trop v. Dulles 356 u.s. 86 (1958)	Citizenship	
Schneider v. Rusk 377 u.s. 163 (1964)	Citizenship	
Afroyim v. Rusk 387 u.s. 253 (1967)	Citizenship	
Graham v. Department of Pub. Welfare 403 u.s. 365 (1971)	Citizenship	
Hampton v. Mow Sun Wong 426 u.s. 88 (1976)	Citizenship	
Ambach v. Norwick 441 u.s. 68 (1979)	Citizenship	
Building Trades & Construction Trades Council of Camden County and Vicinity v. Mayor and Council of the City of Camden 465 u.s. 208 (1984)	Citizenship	
Nguyen v. INS 99-2071 (2001)	Citizenship	
Ex Parte Quirin 317 u.s. 1 (1942)	Commander in Chief	
Korematsu v. United States 323 u.s. 214 (1944)	Commander in Chief	
Woods v. Cloyd W. Miller Co. 333 u.s. 138 (1948)	Commander in Chief	
United States v. Quarles 350 u.s. 11 (1955)	Commander in Chief	
Reid v. Covert 354 u.s. 1 (1957)	Commander in Chief	
Gibbons v. Ogden 22 u.s. 1 (1824)	Commerce Clause	
Willson v. Black Bird Creek Marsh Company 27 u.s. 245 (1829)	Commerce Clause	
Cooley v. Board of Wardens 53 u.s. 299 (1851)	Commerce Clause	
Slaughterhouse Cases 83 u.s. 36 (1872)	Commerce Clause	
United States v. E. C. Knight Company 156 u.s. 1 (1895)	Commerce Clause	
In re Debs 158 u.s. 564 (1895)	Commerce Clause	
Northern Securities Co. v. United States 193 u.s. 197 (1904)	Commerce Clause	
Swift and Company v. United States 196 u.s. 375 (1905)	Commerce Clause	
Adair v. United States 208 u.s. 161 (1908)	Commerce Clause	
Loewe v. Lawlor 208 u.s. 274 (1908)	Commerce Clause	
Standard Oil Co. of New Jersey v. United States 221 u.s. 1 (1911)	Commerce Clause	
