topic	case	argued	decided	opinion
abortion	410 U.S. 113	NA	NA	NA
abortion	Doe v. Bolton	Argued: December 13, 1971	Decided: January 22, 1973	Opinion, Blackmun
abortion	Bigelow v. Virginia	Argued: December 18, 1974	Decided: June 16, 1975	Opinion, Blackmun
abortion	Planned Parenthood of Central Missouri v. Danforth	Argued: March 23, 1976	Decided: July 1, 1976  [*]	Opinion, Blackmun
abortion	Beal v. Doe	Argued: January 11, 1977	Decided: June 20, 1977	Opinion, Powell
abortion	Maher v. Roe	Argued: January 11, 1977	Decided: June 20, 1977	Opinion, Powell
abortion	Poelker v. Doe	Argued: January 11, 1977	Decided: June 20, 1977	NA
abortion	Harris v. McRae	Argued: April 21, 1980	Decided: June 30, 1980	Opinion, Stewart
abortion	Akron v. Akron Center for Reproductive Health, Inc.	Argued: November 30, 1982	Decided: June 15, 1983  [*]	Opinion, Powell
abortion	Thornburgh v. American College of Obstetricians & Gynecologists	Argued: November 5, 1985	Decided: June 11, 1986	Opinion, Blackmun
abortion	Frisby v. Schultz	Argued: April 20, 1988	Decided: June 27, 1988	Opinion, O'Connor
abortion	Webster v. Reproductive Health Services	Argued: April 26, 1989	Decided: July 3, 1989	Opinion, Rehnquist
abortion	497 U.S. 417	NA	NA	NA
abortion	Rust v. Sullivan	Argued: Oct. 30, 1990	Decided: May 23, 1991	Opinion, Rehnquist
abortion	Planned Parenthood of Southeastern Pennsylvania v. Casey	Argued: April 22, 1992	Decided: June 29, 1992	Opinion, O'Connor, et.al
affirmative_action	Regents of the Uni v. of Cal. v. Bakke	Argued: October 12, 1977	Decided: June 28, 1978	Opinion, Powell
affirmative_action	United Steelworkers of America, AFL-CIO-CLC v. Weber	Argued: March 28, 1979	Decided: June 27, 1979  [*]	Opinion, Brennan
affirmative_action	Fullilove v. Klutznick	Argued: November 27, 1979	Decided: July 2, 1980	Opinion, Burger
affirmative_action	Mississippi University for Women v. Hogan	Argued: March 22, 1982	Decided: July 1, 1982	Opinion, O'Connor
affirmative_action	Building Trades & Construction Trades Council of Camden County and Vicinity v. Mayor and Council of the City of Camden	Argued: November 28, 1983	Decided: February 21, 1984	Opinion, Rehnquist
affirmative_action	Firefighters Local Union No. 1784 v. Stotts	Argued: December 6, 1984	Decided: June 12, 1984  [*]	Opinion, White
affirmative_action	476 U.S. 267	NA	NA	NA
